cvrp_id,purch_lease,veh_model,tot_rebate,purch_price,air_dstrct,cnty,zipcode,census_trct,prev_tech_type,reason,residence_type,solar_panels,num_cars_HH,num_lic_drvr_HH,gender,HH_education,HH_income,tax_filing_status,HH_size,amer_indian_alskn_native,blck_afr_amer,east_asian,latino,middl_eastern,hawii_pac_islnd,south_asian,white,nan_ethnic,other_ethnic,cvrp_17,tech_type,age
A-217699,Lease,BMW i3 REx,4500,43848.43,South Coast,Orange,92683,6059099222.0,2.0,4.0,1,4.0,4.0,4.0,2.0,5,4.0,1.0,4.0,,,1.0,,,,,,,,0,BEV,2.0
A-260469,Lease,Chevrolet Bolt EV,4500,35125.0,Bay Area,Sonoma,95407,6097153104.0,2.0,2.0,1,3.0,2.0,2.0,1.0,3,2.0,2.0,2.0,,,,,,,,1.0,,,1,BEV,5.0
A-217979,Lease,Ford Fusion Energi,3500,33995.0,South Coast,San Bernardino,91739,6071002034.0,2.0,2.0,2,5.0,1.0,2.0,2.0,3,2.0,2.0,2.0,1.0,,,1.0,,,,1.0,,,0,PHEV,3.0
A-281921,Lease,Chevrolet Bolt EV,4500,35100.0,Bay Area,Contra Costa,94521,6013333102.0,,3.0,3,-99.0,3.0,2.0,2.0,5,2.0,2.0,2.0,,,,,,,1.0,,,,1,BEV,5.0
A-218078,Purchase,Chevrolet Volt,3500,31015.0,South Coast,Los Angeles,91343,6037117510.0,2.0,2.0,2,5.0,3.0,2.0,1.0,1,1.0,2.0,5.0,,,,1.0,,,,,,,0,PHEV,3.0
A-254079,Lease,FIAT 500e,4500,30605.0,South Coast,Orange,92782,6059052419.0,2.0,2.0,3,5.0,1.0,1.0,2.0,3,1.0,1.0,1.0,,,,,,,,1.0,,,1,BEV,6.0
A-254091,Purchase,Tesla Model S 70 and above,4500,88000.0,South Coast,Los Angeles,90046,6037700200.0,2.0,3.0,3,-99.0,2.0,2.0,1.0,5,3.0,2.0,4.0,,,,,,,,1.0,,,1,BEV,5.0
A-255454,Purchase,Toyota Prius Prime,3500,28628.0,South Coast,Los Angeles,91803,6037481606.0,2.0,2.0,3,5.0,1.0,1.0,1.0,2,1.0,1.0,2.0,,,1.0,,,,,,,,1,PHEV,3.0
A-242424,Purchase,Chevrolet Volt,3500,37520.0,Bay Area,Santa Clara,95008,6085506502.0,-99.0,2.0,3,5.0,3.0,4.0,2.0,3,3.0,4.0,6.0,,,,,,,1.0,,,,0,PHEV,3.0
A-207833,Lease,Ford C-MAX Energi,3000,31976.35,South Coast,Los Angeles,90047,6037238400.0,2.0,1.0,1,1.0,2.0,2.0,1.0,5,2.0,1.0,2.0,,,,,,,,,,1.0,0,PHEV,6.0
A-276548,Purchase,Chevrolet Volt,3500,30490.0,San Diego,San Diego,91913,6073013310.0,5.0,3.0,1,3.0,4.0,5.0,1.0,6,2.0,1.0,5.0,,,,1.0,,,,1.0,,,1,PHEV,2.0
A-226092,Lease,FIAT 500e,4500,33614.0,South Coast,Los Angeles,90211,6037700902.0,,2.0,2,4.0,4.0,5.0,2.0,3,4.0,2.0,7.0,,,,,,,,1.0,,,0,BEV,4.0
A-269570,Lease,Chevrolet Bolt EV,4500,34575.0,South Coast,Los Angeles,90503,6037650603.0,2.0,2.0,3,5.0,1.0,3.0,1.0,5,4.0,4.0,7.0,,,,,1.0,,,,,,1,BEV,4.0
A-226130,Lease,Toyota Prius Prime,3500,27443.42,Sacramento Metro,Sacramento,95828,6067009317.0,2.0,4.0,1,4.0,3.0,2.0,1.0,5,3.0,2.0,2.0,,,1.0,,,,,,,,0,PHEV,5.0
A-226121,Lease,FIAT 500e,4500,32177.78,San Diego,San Diego,92111,6073008509.0,,1.0,1,1.0,2.0,1.0,1.0,5,-77.0,1.0,1.0,,,,,,,,1.0,,,0,BEV,3.0
A-208025,Lease,Volkswagen e-Golf,4000,24831.19,South Coast,Los Angeles,91402,6037120300.0,2.0,3.0,1,2.0,2.0,2.0,1.0,5,1.0,2.0,4.0,,,,,,,,1.0,,,0,BEV,3.0
A-211918,Lease,FIAT 500e,4000,31295.15,South Coast,Los Angeles,91711,6037401800.0,,2.0,3,5.0,1.0,1.0,2.0,5,1.0,1.0,1.0,,,1.0,,,,,,,,0,BEV,3.0
A-208053,Lease,FIAT 500e,4000,31139.89,South Coast,Los Angeles,90034,6037269700.0,5.0,1.0,1,3.0,1.0,3.0,1.0,5,3.0,2.0,3.0,,,,,1.0,,,,,,0,BEV,5.0
A-266958,Purchase,Chevrolet Volt,3500,38065.0,Mendocino,Mendocino,95437,6045010300.0,2.0,5.0,1,1.0,2.0,2.0,1.0,6,1.0,1.0,2.0,,,,,,,,1.0,,,1,PHEV,6.0
A-208047,Lease,Nissan LEAF S,4000,29875.0,San Joaquin Valley Unified,Kern,93250,6029004701.0,,2.0,1,4.0,3.0,2.0,2.0,5,2.0,2.0,5.0,,,,,,,,1.0,,,0,BEV,3.0
A-208036,Lease,Volkswagen e-Golf,4000,24110.0,San Diego,San Diego,92078,6073020306.0,2.0,1.0,-99,4.0,3.0,2.0,1.0,3,2.0,1.0,2.0,,,,,,,,1.0,,,0,BEV,5.0
A-274234,Purchase,Toyota Prius Prime,3500,28284.0,El Dorado,El Dorado,95629,6017031402.0,2.0,3.0,-99,5.0,,1.0,2.0,5,1.0,1.0,1.0,,,,,,,,1.0,,,1,PHEV,7.0
A-208108,Purchase,Ford Fusion Energi,3000,34884.45,San Joaquin Valley Unified,San Joaquin,95209,6077003208.0,2.0,1.0,1,1.0,3.0,3.0,1.0,3,6.0,1.0,3.0,,1.0,,,,,,,,,0,PHEV,5.0
A-211919,Lease,FIAT 500e,4000,32610.41,South Coast,Los Angeles,91423,6037128702.0,,2.0,3,4.0,2.0,1.0,2.0,5,2.0,4.0,3.0,,,,,,,,1.0,,,0,BEV,4.0
A-208149,Lease,Chevrolet Volt,3000,33474.3,South Coast,Los Angeles,91206,6037302002.0,2.0,1.0,3,5.0,2.0,2.0,1.0,4,3.0,2.0,4.0,,,,,,,,1.0,,,0,PHEV,3.0
A-266952,Purchase,Toyota Prius Prime,3500,28552.0,San Joaquin Valley Unified,Fresno,93726,6019005302.0,5.0,2.0,1,3.0,1.0,1.0,1.0,3,2.0,1.0,1.0,,,,1.0,,,,,,,1,PHEV,3.0
A-215055,Lease,Chevrolet Volt,3500,31350.0,South Coast,Los Angeles,91203,6037301802.0,2.0,1.0,-99,5.0,1.0,1.0,1.0,-77,1.0,1.0,1.0,,,,,,,,1.0,,,0,PHEV,2.0
A-255573,Lease,Chevrolet Volt,3500,36194.0,San Luis Obispo,San Luis Obispo,93446,6079010205.0,1.0,1.0,1,3.0,1.0,1.0,1.0,3,-77.0,1.0,1.0,,,,,,,,1.0,,,1,PHEV,3.0
A-210649,Purchase,Nissan LEAF S,4000,26046.0,Sacramento Metro,Sacramento,95757,6067009636.0,2.0,2.0,1,5.0,3.0,2.0,2.0,3,2.0,1.0,5.0,,,,,,,,1.0,,,0,BEV,3.0
A-270477,Lease,Ford Fusion Energi,3500,26774.0,South Coast,Los Angeles,90047,6037238400.0,6.0,1.0,1,1.0,1.0,2.0,1.0,5,2.0,1.0,2.0,,1.0,,,,,,1.0,,,1,PHEV,6.0
A-235081,Lease,FIAT 500e,4500,30600.0,South Coast,Los Angeles,91423,6037141600.0,2.0,3.0,1,3.0,2.0,3.0,2.0,5,1.0,1.0,3.0,,,,,,,,1.0,,,0,BEV,2.0
A-222804,Purchase,Chevrolet Bolt EV,4500,43510.0,Bay Area,Santa Clara,95148,6085503323.0,5.0,7.0,1,1.0,2.0,2.0,1.0,6,1.0,2.0,2.0,,,,,,,,1.0,,,0,BEV,8.0
A-219119,Lease,Chevrolet Volt,3500,30595.0,South Coast,Los Angeles,91367,6037137302.0,2.0,1.0,1,4.0,4.0,5.0,2.0,5,3.0,2.0,5.0,,,,,,,,1.0,,,0,PHEV,4.0
A-265013,Lease,Nissan LEAF SV,4500,30000.0,Bay Area,Sonoma,95404,6097151401.0,2.0,3.0,1,1.0,2.0,2.0,1.0,3,4.0,2.0,5.0,,,,,,,,1.0,,,1,BEV,4.0
A-264770,Lease,Kia Optima Plug-in Hybrid,3500,35650.0,South Coast,Los Angeles,91201,6037301601.0,5.0,5.0,3,5.0,,1.0,1.0,4,2.0,2.0,1.0,,,,,,,,1.0,,,1,PHEV,6.0
A-213968,Purchase,Ford C-MAX Energi,3000,33657.91,South Coast,Orange,92780,6059075513.0,,1.0,1,3.0,3.0,2.0,1.0,6,4.0,2.0,2.0,,,,,,,,1.0,,,0,PHEV,7.0
A-219154,Lease,FIAT 500e,4500,31767.72,San Joaquin Valley Unified,Fresno,93657,6019006300.0,2.0,1.0,1,5.0,3.0,2.0,1.0,3,2.0,4.0,2.0,,,,,,,,,1.0,,0,BEV,5.0
A-219150,Lease,Nissan LEAF SL,4500,32674.0,Bay Area,Sonoma,95404,6097152300.0,2.0,3.0,1,5.0,4.0,3.0,2.0,5,2.0,2.0,3.0,,,,,,,,1.0,,,0,BEV,5.0
A-199826,Lease,Ford Fusion Energi,3000,32280.4,San Diego,San Diego,92130,6073008330.0,2.0,1.0,3,5.0,2.0,2.0,1.0,5,3.0,2.0,4.0,,,,,,,,1.0,,,0,PHEV,4.0
A-234659,Lease,FIAT 500e,4500,33290.75,Sacramento Metro,Sacramento,95835,6067001101.0,,2.0,2,5.0,2.0,2.0,1.0,5,2.0,2.0,2.0,,1.0,,,,,,,,,0,BEV,5.0
A-235063,Purchase,Tesla Model X,4500,113500.0,Monterey Bay Unified,Santa Cruz,95003,6087122203.0,5.0,2.0,1,3.0,3.0,2.0,2.0,4,1.0,1.0,1.0,,,,,,,,1.0,,,0,BEV,6.0
A-191489,Lease,Ford Fusion Energi,3000,35990.0,South Coast,Los Angeles,91042,6037101110.0,,4.0,-77,4.0,1.0,1.0,2.0,5,-77.0,1.0,1.0,,,,,,,,1.0,,,0,PHEV,3.0
A-222859,Lease,Nissan LEAF S,4500,30750.0,Bay Area,Sonoma,95404,6097151401.0,2.0,3.0,3,5.0,3.0,2.0,1.0,5,3.0,2.0,3.0,,,,,,,,1.0,,,0,BEV,6.0
A-190723,Purchase,Hyundai Sonata Plug-in Hybrid,3000,36599.0,San Diego,San Diego,92025,6073020214.0,2.0,1.0,3,5.0,1.0,1.0,1.0,5,1.0,1.0,1.0,,,,,,,,1.0,,,0,PHEV,7.0
A-254517,Lease,Volkswagen e-Golf,4500,23625.0,San Diego,San Diego,92075,6073017304.0,8.0,9.0,1,3.0,3.0,3.0,1.0,5,1.0,2.0,3.0,,,,,,,,1.0,,,1,BEV,6.0
A-224356,Purchase,Toyota Prius Prime,3500,30359.0,San Joaquin Valley Unified,Fresno,93728,6019002200.0,5.0,1.0,3,5.0,1.0,1.0,1.0,6,2.0,1.0,1.0,,,,1.0,,,,,,,0,PHEV,2.0
A-201032,Lease,Ford Fusion Energi,3000,32257.18,South Coast,Riverside,92585,6065042726.0,2.0,3.0,1,4.0,3.0,2.0,1.0,2,2.0,2.0,6.0,,,,1.0,,,,,,,0,PHEV,4.0
A-265017,Lease,Chevrolet Volt,3500,27804.0,Ventura,Ventura,91320,6111005909.0,2.0,2.0,3,5.0,2.0,2.0,2.0,5,2.0,1.0,2.0,,,,,,,,1.0,,,1,PHEV,2.0
A-235456,Lease,FIAT 500e,4500,32100.0,San Joaquin Valley Unified,Kern,93311,6029002821.0,2.0,8.0,1,4.0,2.0,2.0,2.0,3,2.0,1.0,2.0,,,,,,,,1.0,,,0,BEV,3.0
